trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",25,17,13.923350596015023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",20,0,-71.25819272496933,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",30,0,41.62313079065548,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",30,0,-11.876776847451772,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",20,0,-42.40859263041141,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,12,-18.117908775467583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",30,5,-26.852405213427158,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",25,8,-34.062194010300864,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",20,9,25.49105020266673,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",25,0,1.1571192229821905,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",20,2,21.745379900652686,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",30,0,46.743477710392284,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",20,7,21.398288643093117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",20,4,24.883075773066277,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",20,13,12.508544825128318,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",25,17,13.70924714365724,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",20,0,-37.27712165219438,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",30,21,18.189603194442842,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",30,3,-5.9071796605719795,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",25,5,35.10470448280223,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",25,12,20.929190692225685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978754}",20,4,10.22347121264987,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778965}",25,7,21.33593086837835,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671176}",25,2,-103.63120473428219,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384465}",25,0,-20.83376891611473,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
187,False,"{'a': 0.5, 'e': 0.1526797322759062}",20,8,22.559823644142643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15115293495314713}",25,1,-18.011337001999937,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361566}",25,0,-29.828774068778124,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
190,False,"{'a': 0.5, 'e': 0.1481449915475795}",25,17,14.57481597164197,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.1466635416321037}",25,11,-19.89468837948739,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578268}",25,9,12.937999058224369,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14374493715362485}",20,3,22.55556068222571,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.1423074877820886}",25,16,18.035010191637067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.1408844129042677}",35,12,34.15427762459954,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.13947556877522502}",20,15,-15.093760097220779,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747278}",30,2,2.9358056219954896,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13670000495659804}",20,0,5.966542685409154,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.13533300490703207}",20,0,25.061039233621962,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
200,False,"{'a': 0.5, 'e': 0.13397967485796175}",20,10,19.706310884168087,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13263987810938213}",20,0,-29.898013781999765,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
202,False,"{'a': 0.5, 'e': 0.1313134793282883}",20,4,27.076077329336535,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13000034453500542}",25,13,-25.702814052755826,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
